G,Date,Loc,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,LFG,LFGA,LFG%,L3P,L3PA,L3P%,LFT,LFTA,LFT%,LORB,LTRB,LAST,LSTL,LBLK,LTOV,LPF
1,2023-11-07,,Florida Gulf Coast,W,69,63,23,45,.511,4,13,.308,19,30,.633,6,31,11,6,5,11,9,,24,62,.387,13,34,.382,2,6,.333,8,26,13,8,3,13,25
2,2023-11-12,,Army,W,72,64,25,43,.581,4,11,.364,18,22,.818,5,25,16,5,5,17,14,,24,61,.393,13,38,.342,3,9,.333,7,22,16,12,0,8,22
3,2023-11-16,,Wright State,W,89,80,33,61,.541,3,16,.188,20,32,.625,7,36,20,3,6,8,19,,28,68,.412,11,26,.423,13,17,.765,13,37,15,2,1,12,25
4,2023-11-19,N,UConn,L,57,77,17,45,.378,3,13,.231,20,28,.714,2,17,6,7,3,12,21,,25,56,.446,7,22,.318,20,25,.800,15,43,19,8,4,13,21
5,2023-11-20,N,Louisville,W,74,66,24,53,.453,1,11,.091,25,34,.735,7,38,18,8,7,11,18,,20,56,.357,5,19,.263,21,29,.724,5,30,9,6,2,11,23
6,2023-11-26,,Harvard,W,89,76,36,63,.571,4,15,.267,13,17,.765,11,34,20,8,4,12,13,,26,60,.433,9,26,.346,15,18,.833,8,24,13,6,1,13,16
7,2023-12-01,,Maryland,W,65,53,26,57,.456,3,9,.333,10,18,.556,13,42,17,7,4,13,17,,20,56,.357,2,16,.125,11,17,.647,10,29,8,9,7,12,21
8,2023-12-05,@,Michigan,W,78,75,30,58,.517,3,9,.333,15,21,.714,8,28,7,8,4,13,19,,26,55,.473,4,17,.235,19,24,.792,5,26,8,4,2,14,21
9,2023-12-09,N,Auburn,L,76,104,24,56,.429,6,17,.353,22,29,.759,7,32,14,2,4,11,22,,35,72,.486,14,29,.483,20,23,.870,9,36,25,8,3,2,21
10,2023-12-16,,Kansas,L,71,75,25,59,.424,6,16,.375,15,22,.682,6,33,10,6,2,14,21,,26,61,.426,6,18,.333,17,24,.708,7,31,18,9,4,11,15
11,2023-12-19,,Morehead State,W,69,68,25,63,.397,3,16,.188,16,28,.571,11,39,12,1,3,5,12,,25,65,.385,10,34,.294,8,11,.727,8,36,8,5,6,7,26
12,2023-12-21,,North Alabama,W,83,66,31,58,.534,12,24,.500,9,14,.643,7,31,25,7,4,10,13,,26,64,.406,9,32,.281,5,8,.625,11,31,12,6,4,13,16
13,2023-12-29,,Kennesaw State,W,100,87,36,59,.610,7,15,.467,21,33,.636,10,39,20,9,7,17,12,,32,71,.451,17,35,.486,6,8,.750,8,27,21,10,4,15,26
14,2024-01-03,@,Nebraska,L,70,86,24,51,.471,9,18,.500,13,19,.684,7,31,19,5,2,19,19,,27,59,.458,12,32,.375,20,26,.769,7,26,16,15,0,8,20
15,2024-01-06,,Ohio State,W,71,65,27,59,.458,5,12,.417,12,16,.750,6,25,16,8,3,4,15,,25,69,.362,7,27,.259,8,9,.889,16,42,13,3,10,14,15
16,2024-01-09,@,Rutgers,L,57,66,23,58,.397,7,26,.269,4,15,.267,7,37,17,10,5,18,21,,21,65,.323,5,22,.227,19,28,.679,15,46,12,9,7,15,13
17,2024-01-12,,Minnesota,W,74,62,26,60,.433,6,14,.429,16,27,.593,12,38,17,6,2,9,18,,23,59,.390,3,20,.150,13,24,.542,12,40,9,7,7,13,22
18,2024-01-16,,Purdue,L,66,87,27,65,.415,8,24,.333,4,9,.444,9,32,14,4,3,10,19,,29,62,.468,7,19,.368,22,27,.815,10,41,14,7,2,8,12
