G,Date,Loc,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,2023-11-06,,Samford,W,98,45,34,62,.548,16,29,.552,14,22,.636,11,50,29,9,10,14,15,,17,68,.250,5,31,.161,6,14,.429,9,28,11,11,0,15,19
2,2023-11-10,,Morehead State,W,87,57,30,55,.545,8,23,.348,19,24,.792,7,37,19,5,6,8,12,,23,67,.343,7,31,.226,4,6,.667,10,28,14,3,2,9,21
3,2023-11-13,,Xavier,W,83,71,29,57,.509,7,15,.467,18,21,.857,5,32,19,4,6,11,11,,30,67,.448,7,25,.280,4,6,.667,6,26,15,8,1,10,17
4,2023-11-20,N,Gonzaga,W,73,63,28,60,.467,4,17,.235,13,16,.813,8,38,11,9,3,13,12,,26,69,.377,6,32,.188,5,8,.625,11,31,13,12,2,13,19
5,2023-11-21,N,Tennessee,W,71,67,19,54,.352,4,15,.267,29,48,.604,15,39,8,8,3,15,21,,19,57,.333,8,30,.267,21,30,.700,8,27,9,8,3,10,30
6,2023-11-22,N,Marquette,W,78,75,30,59,.508,10,21,.476,8,15,.533,10,32,14,3,2,14,11,,30,58,.517,5,17,.294,10,11,.909,5,23,17,11,1,9,18
7,2023-11-28,,Texas Southern,W,99,67,29,55,.527,13,25,.520,28,40,.700,8,43,19,4,6,10,12,,26,70,.371,9,30,.300,6,9,.667,6,28,12,7,3,8,27
8,2023-12-01,@,Northwestern,L (1 OT),88,92,26,60,.433,5,19,.263,31,41,.756,13,47,15,1,4,17,27,,31,66,.470,10,20,.500,20,32,.625,5,26,22,8,1,3,29
9,2023-12-04,,Iowa,W,87,68,34,65,.523,8,25,.320,11,16,.688,15,39,24,3,5,7,13,,25,65,.385,6,18,.333,12,17,.706,14,31,17,5,3,8,15
10,2023-12-09,N,Alabama,W,92,86,30,62,.484,8,18,.444,24,28,.857,10,32,22,9,2,9,15,,29,64,.453,19,46,.413,9,14,.643,10,30,20,5,5,13,24
11,2023-12-16,N,Arizona,W,92,84,35,65,.538,10,24,.417,12,19,.632,11,31,22,10,3,12,14,,32,62,.516,6,16,.375,14,16,.875,5,26,24,8,1,13,19
12,2023-12-21,,Jacksonville,W,100,57,35,68,.515,9,29,.310,21,26,.808,10,36,25,14,6,9,11,,21,57,.368,4,22,.182,9,13,.692,7,28,5,8,2,22,20
13,2023-12-29,,Eastern Kentucky,W,80,53,33,64,.516,6,21,.286,8,14,.571,12,43,20,7,5,10,7,,22,59,.373,4,19,.211,5,8,.625,6,22,8,7,7,12,16
14,2024-01-02,@,Maryland,W,67,53,25,54,.463,9,20,.450,8,10,.800,9,36,16,1,2,11,7,,21,63,.333,5,22,.227,6,11,.545,13,30,5,6,3,8,12
15,2024-01-05,,Illinois,W,83,78,27,60,.450,9,19,.474,20,25,.800,16,40,18,5,4,12,17,,26,61,.426,8,19,.421,18,21,.857,11,25,15,5,3,10,19
16,2024-01-09,@,Nebraska,L,72,88,24,57,.421,13,33,.394,11,15,.733,9,31,17,1,2,13,16,,29,57,.509,14,23,.609,16,19,.842,4,27,22,9,3,8,17
17,2024-01-13,,Penn State,W,95,78,32,55,.582,11,24,.458,20,29,.690,10,41,26,3,3,14,15,,29,65,.446,9,28,.321,11,17,.647,4,21,19,9,0,8,22
18,2024-01-16,@,Indiana,W,87,66,29,62,.468,7,19,.368,22,27,.815,10,41,14,7,2,8,12,,27,65,.415,8,24,.333,4,9,.444,9,32,14,4,3,10,19
19,2024-01-20,@,Iowa,W,84,70,30,67,.448,9,26,.346,15,21,.714,19,50,19,4,6,11,15,,27,59,.458,5,17,.294,11,16,.688,4,23,15,6,1,7,19
20,2024-01-23,,Michigan,W,99,67,34,66,.515,14,21,.667,17,26,.654,14,45,24,5,4,6,17,,23,68,.338,9,29,.310,12,15,.800,13,34,16,2,2,7,19
21,2024-01-28,@,Rutgers,W,68,60,22,45,.489,5,19,.263,19,25,.760,6,31,12,8,6,14,11,,24,64,.375,4,16,.250,8,13,.615,12,30,12,4,1,10,16
22,2024-01-31,,Northwestern,W (1 OT),105,96,33,57,.579,10,21,.476,29,46,.630,12,33,23,6,2,10,15,,38,66,.576,14,27,.519,6,8,.750,3,22,23,6,2,8,30
23,2024-02-04,@,Wisconsin,W,75,69,27,57,.474,3,11,.273,18,23,.783,11,38,12,4,3,11,16,,27,65,.415,3,19,.158,12,14,.857,9,27,15,6,4,5,21
24,2024-02-10,,Indiana,W,79,59,25,59,.424,8,21,.381,21,33,.636,14,43,12,10,3,8,13,,23,55,.418,4,16,.250,9,15,.600,4,27,15,5,2,11,20
25,2024-02-15,,Minnesota,W,84,76,28,59,.475,9,19,.474,19,32,.594,15,42,21,5,1,9,13,,26,59,.441,12,25,.480,12,16,.750,7,25,19,5,3,5,20
26,2024-02-18,@,Ohio State,L,69,73,23,53,.434,3,9,.333,20,20,1.000,14,36,13,3,5,14,14,,28,58,.483,7,21,.333,10,11,.909,7,22,13,9,3,6,20
27,2024-02-22,,Rutgers,W,96,68,33,56,.589,12,23,.522,18,20,.900,10,34,22,8,4,11,12,,23,54,.426,5,13,.385,17,20,.850,7,22,11,8,2,11,16
28,2024-02-25,@,Michigan,W,84,76,32,68,.471,7,24,.292,13,19,.684,17,40,18,7,0,7,15,,29,60,.483,9,21,.429,9,13,.692,8,24,12,5,0,10,22
29,2024-03-02,,Michigan State,W,80,74,25,49,.510,10,20,.500,20,30,.667,7,31,15,4,4,7,17,,25,64,.391,9,21,.429,15,17,.882,11,32,11,6,3,7,25
30,2024-03-05,@,Illinois,W,77,71,29,60,.483,9,16,.563,10,14,.714,10,29,20,5,2,8,17,,25,55,.455,4,16,.250,17,21,.810,10,27,9,7,1,12,15
31,2024-03-10,,Wisconsin,W,78,70,26,53,.491,9,18,.500,17,21,.810,10,35,21,5,3,13,17,,27,62,.435,5,24,.208,11,14,.786,7,22,10,11,0,8,19
32,2024-03-15,N,Michigan State,W,67,62,22,53,.415,5,14,.357,18,27,.667,7,30,19,7,3,11,17,,24,61,.393,4,18,.222,10,12,.833,13,35,15,4,8,13,29
33,2024-03-16,N,Wisconsin,L (1 OT),75,76,23,51,.451,5,16,.313,24,32,.750,9,39,18,3,5,15,17,,32,74,.432,7,32,.219,5,9,.556,9,27,18,8,0,5,28
34,2024-03-22,N,Grambling,W,78,50,28,59,.475,9,24,.375,13,22,.591,17,46,23,4,5,10,6,,20,55,.364,3,12,.250,7,10,.700,3,20,11,8,6,5,19
35,2024-03-24,N,Utah State,W,106,67,38,68,.559,11,23,.478,19,23,.826,10,45,29,5,5,9,10,,23,64,.359,9,27,.333,12,16,.750,5,22,9,5,4,8,20
36,2024-03-29,N,Gonzaga,W,80,68,32,56,.571,9,20,.450,7,10,.700,8,29,24,3,0,8,11,,29,59,.492,6,19,.316,4,7,.571,9,24,14,5,0,6,15
37,2024-03-31,N,Tennessee,W,72,66,24,53,.453,3,15,.200,21,33,.636,8,40,16,5,2,10,12,,24,62,.387,11,26,.423,7,11,.636,6,23,17,8,4,6,25
38,2024-04-06,N,NC State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
